,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
13,id,smoothed_cli,2020-09-16,,2020-10-05,19,0.7725953,0.1483261,2403.274,state,fb-survey
14,il,smoothed_cli,2020-09-16,,2020-10-05,19,0.6023646,0.0617112,12729.9998,state,fb-survey
15,in,smoothed_cli,2020-09-16,,2020-10-05,19,0.632139,0.0806774,7399.0125,state,fb-survey
16,ks,smoothed_cli,2020-09-16,,2020-10-05,19,0.6863114,0.1126819,3578.9704,state,fb-survey
17,ky,smoothed_cli,2020-09-16,,2020-10-05,19,0.5841894,0.0967132,4768.203,state,fb-survey
18,la,smoothed_cli,2020-09-16,,2020-10-05,19,0.6970078,0.1091749,4487.5515,state,fb-survey
19,ma,smoothed_cli,2020-09-16,,2020-10-05,19,0.3252171,0.0656367,6157.0125,state,fb-survey
20,md,smoothed_cli,2020-09-16,,2020-10-05,19,0.2928928,0.0657693,4822.9688,state,fb-survey
21,me,smoothed_cli,2020-09-16,,2020-10-05,19,0.3861198,0.1087384,2404.2234,state,fb-survey
22,mi,smoothed_cli,2020-09-16,,2020-10-05,19,0.3887575,0.0491798,12105.0084,state,fb-survey
23,mn,smoothed_cli,2020-09-16,,2020-10-05,19,0.4370835,0.0764742,5689.1865,state,fb-survey
24,mo,smoothed_cli,2020-09-16,,2020-10-05,19,0.9824542,0.1074138,6310.8772,state,fb-survey
25,ms,smoothed_cli,2020-09-16,,2020-10-05,19,0.8620905,0.1551853,2872.3703,state,fb-survey
26,mt,smoothed_cli,2020-09-16,,2020-10-05,19,0.6422211,0.1627172,1750.7257,state,fb-survey
27,nc,smoothed_cli,2020-09-16,,2020-10-05,19,0.6177951,0.0675885,10582.0125,state,fb-survey
28,nd,smoothed_cli,2020-09-16,,2020-10-05,19,1.1426931,0.3247265,917.8885,state,fb-survey
29,ne,smoothed_cli,2020-09-16,,2020-10-05,19,0.9528423,0.1835338,2338.4639,state,fb-survey
30,nh,smoothed_cli,2020-09-16,,2020-10-05,19,0.2869381,0.1085215,2111.7766,state,fb-survey
31,nj,smoothed_cli,2020-09-16,,2020-10-05,19,0.234463,0.0487498,7406.9978,state,fb-survey
32,nm,smoothed_cli,2020-09-16,,2020-10-05,19,0.4500935,0.1358437,2158.069,state,fb-survey
33,nv,smoothed_cli,2020-09-16,,2020-10-05,19,0.6031691,0.1426801,2375.3109,state,fb-survey
34,ny,smoothed_cli,2020-09-16,,2020-10-05,19,0.2900517,0.0382257,15568.9995,state,fb-survey
35,oh,smoothed_cli,2020-09-16,,2020-10-05,19,0.5894563,0.0580659,12708.9971,state,fb-survey
36,ok,smoothed_cli,2020-09-16,,2020-10-05,19,0.9054031,0.1219125,4615.5665,state,fb-survey
37,or,smoothed_cli,2020-09-16,,2020-10-05,19,0.4847528,0.0931761,4694.4766,state,fb-survey
38,pa,smoothed_cli,2020-09-16,,2020-10-05,19,0.4530505,0.0492801,14927.01,state,fb-survey
39,ri,smoothed_cli,2020-09-16,,2020-10-05,19,0.2795701,0.1286241,1285.9875,state,fb-survey
40,sc,smoothed_cli,2020-09-16,,2020-10-05,19,0.7279041,0.0907315,6783.0035,state,fb-survey
41,sd,smoothed_cli,2020-09-16,,2020-10-05,19,1.1018632,0.2751392,1175.6058,state,fb-survey
42,tn,smoothed_cli,2020-09-16,,2020-10-05,19,0.779619,0.0934828,6981.7801,state,fb-survey
43,tx,smoothed_cli,2020-09-16,,2020-10-05,19,0.625036,0.0482538,20883.507,state,fb-survey
44,ut,smoothed_cli,2020-09-16,,2020-10-05,19,0.7975744,0.1251367,3394.1635,state,fb-survey
45,va,smoothed_cli,2020-09-16,,2020-10-05,19,0.3835837,0.0559223,8976.1944,state,fb-survey
46,vt,smoothed_cli,2020-09-16,,2020-10-05,19,0.0851099,0.080962,1054.0006,state,fb-survey
47,wa,smoothed_cli,2020-09-16,,2020-10-05,19,0.3498458,0.058595,8222.947,state,fb-survey
48,wi,smoothed_cli,2020-09-16,,2020-10-05,19,0.5557661,0.0803284,6907.991,state,fb-survey
49,wv,smoothed_cli,2020-09-16,,2020-10-05,19,0.6343143,0.1388483,2614.2045,state,fb-survey
50,wy,smoothed_cli,2020-09-16,,2020-10-05,19,0.8376187,0.2777975,867.959,state,fb-survey
0,ak,smoothed_cli,2020-09-17,,2020-10-05,18,0.73789,0.2508245,920.0,state,fb-survey
1,al,smoothed_cli,2020-09-17,,2020-10-05,18,0.9728421,0.1328451,4232.1182,state,fb-survey
2,ar,smoothed_cli,2020-09-17,,2020-10-05,18,0.8903981,0.1422347,3172.652,state,fb-survey
3,az,smoothed_cli,2020-09-17,,2020-10-05,18,0.4717419,0.0778949,6452.7376,state,fb-survey
4,ca,smoothed_cli,2020-09-17,,2020-10-05,18,0.4558997,0.0377481,25480.1071,state,fb-survey
5,co,smoothed_cli,2020-09-17,,2020-10-05,18,0.3291552,0.0642633,6036.7255,state,fb-survey
6,ct,smoothed_cli,2020-09-17,,2020-10-05,18,0.3253051,0.0727742,4640.0,state,fb-survey
7,dc,smoothed_cli,2020-09-17,,2020-10-05,18,0.0,0.0841751,593.0,state,fb-survey
8,de,smoothed_cli,2020-09-17,,2020-10-05,18,0.1540398,0.0918466,1363.0365,state,fb-survey
9,fl,smoothed_cli,2020-09-17,,2020-10-05,18,0.6143682,0.0489077,20021.9994,state,fb-survey
10,ga,smoothed_cli,2020-09-17,,2020-10-05,18,0.502536,0.0698992,7854.9272,state,fb-survey
11,hi,smoothed_cli,2020-09-17,,2020-10-05,18,0.5794228,0.1824224,1375.0,state,fb-survey
12,ia,smoothed_cli,2020-09-17,,2020-10-05,18,0.8106256,0.1207481,4512.935,state,fb-survey
13,id,smoothed_cli,2020-09-17,,2020-10-05,18,0.6791472,0.1414989,2335.3396,state,fb-survey
14,il,smoothed_cli,2020-09-17,,2020-10-05,18,0.5982876,0.0622399,12364.0009,state,fb-survey
15,in,smoothed_cli,2020-09-17,,2020-10-05,18,0.6306021,0.0831125,7099.0094,state,fb-survey
16,ks,smoothed_cli,2020-09-17,,2020-10-05,18,0.7541887,0.118799,3481.1174,state,fb-survey
17,ky,smoothed_cli,2020-09-17,,2020-10-05,18,0.5947903,0.0996724,4660.819,state,fb-survey
18,la,smoothed_cli,2020-09-17,,2020-10-05,18,0.7369763,0.1139678,4417.5523,state,fb-survey
19,ma,smoothed_cli,2020-09-17,,2020-10-05,18,0.3320692,0.0670122,5917.0125,state,fb-survey
20,md,smoothed_cli,2020-09-17,,2020-10-05,18,0.2772183,0.0629919,4744.9613,state,fb-survey
21,me,smoothed_cli,2020-09-17,,2020-10-05,18,0.4238858,0.1104423,2351.2234,state,fb-survey
22,mi,smoothed_cli,2020-09-17,,2020-10-05,18,0.4030811,0.0503413,11741.0082,state,fb-survey
23,mn,smoothed_cli,2020-09-17,,2020-10-05,18,0.4761907,0.0820207,5550.1899,state,fb-survey
24,mo,smoothed_cli,2020-09-17,,2020-10-05,18,1.0220477,0.1118641,6147.9458,state,fb-survey
25,ms,smoothed_cli,2020-09-17,,2020-10-05,18,0.7591484,0.1446726,2779.0893,state,fb-survey
26,mt,smoothed_cli,2020-09-17,,2020-10-05,18,0.5767396,0.1588519,1689.796,state,fb-survey
27,nc,smoothed_cli,2020-09-17,,2020-10-05,18,0.6001605,0.0672925,10301.0129,state,fb-survey
28,nd,smoothed_cli,2020-09-17,,2020-10-05,18,1.0677122,0.3261886,888.8539,state,fb-survey
29,ne,smoothed_cli,2020-09-17,,2020-10-05,18,0.9758163,0.1886385,2266.1872,state,fb-survey
30,nh,smoothed_cli,2020-09-17,,2020-10-05,18,0.2983829,0.1128392,2030.7766,state,fb-survey
31,nj,smoothed_cli,2020-09-17,,2020-10-05,18,0.2404421,0.0506492,7253.9978,state,fb-survey
32,nm,smoothed_cli,2020-09-17,,2020-10-05,18,0.4826362,0.141154,2095.2981,state,fb-survey
33,nv,smoothed_cli,2020-09-17,,2020-10-05,18,0.604787,0.1448065,2351.1911,state,fb-survey
34,ny,smoothed_cli,2020-09-17,,2020-10-05,18,0.2984218,0.0390167,15186.999,state,fb-survey
35,oh,smoothed_cli,2020-09-17,,2020-10-05,18,0.6029478,0.0606998,12379.9992,state,fb-survey
36,ok,smoothed_cli,2020-09-17,,2020-10-05,18,0.884998,0.1238155,4454.5668,state,fb-survey
37,or,smoothed_cli,2020-09-17,,2020-10-05,18,0.4579149,0.090282,4640.4736,state,fb-survey
38,pa,smoothed_cli,2020-09-17,,2020-10-05,18,0.4482069,0.0502821,14499.0087,state,fb-survey
39,ri,smoothed_cli,2020-09-17,,2020-10-05,18,0.2283519,0.1184538,1245.9875,state,fb-survey
40,sc,smoothed_cli,2020-09-17,,2020-10-05,18,0.7883409,0.0965699,6578.0044,state,fb-survey
41,sd,smoothed_cli,2020-09-17,,2020-10-05,18,1.2042217,0.2919495,1143.672,state,fb-survey
42,tn,smoothed_cli,2020-09-17,,2020-10-05,18,0.7569423,0.093718,6819.1646,state,fb-survey
43,tx,smoothed_cli,2020-09-17,,2020-10-05,18,0.6068758,0.0478707,20591.5065,state,fb-survey
44,ut,smoothed_cli,2020-09-17,,2020-10-05,18,0.7744604,0.1240785,3318.3537,state,fb-survey
45,va,smoothed_cli,2020-09-17,,2020-10-05,18,0.387656,0.0559939,8770.3254,state,fb-survey
