,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
46,vt,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,90.9707753,0.9264461,957.0003,state,fb-survey
47,wa,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,90.5974182,0.3401152,7363.9516,state,fb-survey
48,wi,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,82.9401815,0.4748952,6273.9894,state,fb-survey
49,wv,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,83.0997319,0.774841,2339.2037,state,fb-survey
50,wy,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,62.8477275,1.7597887,753.9697,state,fb-survey
0,ak,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,80.3956835,1.3755289,833.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,84.4386175,0.5870228,3813.1097,state,fb-survey
2,ar,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,85.5580307,0.6661238,2784.6928,state,fb-survey
3,az,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,87.2886936,0.4382388,5777.3203,state,fb-survey
4,ca,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,91.7789552,0.1831357,22496.9689,state,fb-survey
5,co,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,86.6331607,0.4557256,5575.7851,state,fb-survey
6,ct,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,93.4182338,0.3826154,4200.0,state,fb-survey
7,dc,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,96.3955638,0.8021403,540.0,state,fb-survey
8,de,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,92.8232809,0.7271138,1260.0219,state,fb-survey
9,fl,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,86.3799203,0.2566153,17866.0005,state,fb-survey
10,ga,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,83.3715078,0.4449656,7001.9296,state,fb-survey
11,hi,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,93.2700248,0.720253,1210.0,state,fb-survey
12,ia,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,75.8693195,0.6697766,4081.0867,state,fb-survey
13,id,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,72.3563221,0.9728824,2113.2534,state,fb-survey
14,il,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,87.9505554,0.3086543,11123.9999,state,fb-survey
15,in,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,83.4307972,0.4613078,6496.0066,state,fb-survey
16,ks,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,81.5244043,0.6877943,3183.9701,state,fb-survey
17,ky,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,86.848261,0.5241693,4157.2022,state,fb-survey
18,la,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,82.3752072,0.6163833,3821.3672,state,fb-survey
19,ma,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,93.2816823,0.3380487,5484.0115,state,fb-survey
20,md,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,93.7102916,0.3723175,4251.9762,state,fb-survey
21,me,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,85.8476026,0.7501192,2159.2234,state,fb-survey
22,mi,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,86.1584938,0.3324681,10789.0085,state,fb-survey
23,mn,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,85.9628065,0.4845186,5140.0811,state,fb-survey
