,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
15,in,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,23.3728373,0.5056415,7005.0095,state,fb-survey
16,ks,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,25.7157527,0.7508932,3387.9706,state,fb-survey
17,ky,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,22.9975311,0.6300383,4461.2029,state,fb-survey
18,la,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,23.5399245,0.6580415,4156.552,state,fb-survey
19,ma,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,10.1785381,0.4000721,5712.011,state,fb-survey
20,md,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,13.6927154,0.5157413,4442.9688,state,fb-survey
21,me,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,10.6914684,0.6449895,2295.2234,state,fb-survey
22,mi,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,14.7104798,0.3310231,11450.0092,state,fb-survey
23,mn,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,18.2235658,0.5263035,5380.0841,state,fb-survey
24,mo,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,29.0635457,0.5868253,5986.8771,state,fb-survey
25,ms,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,25.8026758,0.8508676,2644.4113,state,fb-survey
26,mt,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,23.8988124,1.0411747,1677.724,state,fb-survey
27,nc,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,18.2648608,0.3882068,9906.0117,state,fb-survey
28,nd,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,31.5880731,1.5762594,869.7603,state,fb-survey
29,ne,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,24.4293718,0.9147212,2206.4182,state,fb-survey
30,nh,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,9.7723437,0.6623619,2009.7766,state,fb-survey
31,nj,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,9.8113996,0.3639596,6679.9979,state,fb-survey
32,nm,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,14.3618259,0.7792679,2025.3656,state,fb-survey
33,nv,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,17.9202232,0.815556,2211.4239,state,fb-survey
34,ny,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,10.1859517,0.251486,14464.9993,state,fb-survey
35,oh,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,17.0176499,0.3421913,12059.9997,state,fb-survey
36,ok,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,27.614743,0.6790828,4334.5667,state,fb-survey
37,or,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,12.8346539,0.5026167,4428.4751,state,fb-survey
38,pa,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,13.4996118,0.2878612,14092.0097,state,fb-survey
